Team,#,Pos.,Player,Alias,HAS_PLAYED,Club,League,CountryCode
Croatia,3,DF,STRINIC Ivan,STRINIC,TRUE,UC Sampdoria,Serie A,ITA
Croatia,4,FW,PERISIC Ivan,PERISIC,TRUE,FC Internazionale,Serie A,ITA
Colombia,10,MF,RODRIGUEZ James,JAMES,#N/A,FC Bayern Munchen,Bundesliga,GER
Croatia,6,DF,LOVREN Dejan,LOVREN,TRUE,Liverpool FC,Premier League,ENG
Croatia,7,MF,RAKITIC Ivan,RAKITIC,TRUE,FC Barcelona,Primera Division,ESP
Croatia,8,MF,KOVACIC Mateo,KOVACIC,TRUE,Real Madrid CF,Primera Division,ESP
Croatia,13,DF,JEDVAJ Tin,JEDVAJ,#N/A,Bayer 04 Leverkusen,Bundesliga,GER
Croatia,10,MF,MODRIC Luka,MODRIC,TRUE,Real Madrid CF,Primera Division,ESP
Croatia,11,MF,BROZOVIC Marcelo,BROZOVIC,TRUE,FC Internazionale,Serie A,ITA
Croatia,1,GK,LIVAKOVIC Dominik,LIVAKOVIC,#N/A,GNK Dinamo Zagreb,1. HNL,CRO
Croatia,5,DF,CORLUKA Vedran,CORLUKA,#N/A,FC Lokomotiv Moscow,Premjer-Liga,RUS
Croatia,12,GK,KALINIC Lovre,L. KALINIC,#N/A,KAA Gent,First Division A,BEL
Croatia,14,MF,BRADARIC Filip,BRADARIC,#N/A,HNK Rijeka,1. HNL,CRO
Croatia,17,FW,MANDZUKIC Mario,MANDZUKIC,TRUE,Juventus FC,Serie A,ITA
Japan,10,MF,KAGAWA Shinji,KAGAWA,TRUE,Borussia Dortmund,Bundesliga,GER
Croatia,19,MF,BADELJ Milan,BADELJ,TRUE,ACF Fiorentina,Serie A,ITA
Croatia,21,DF,VIDA Domagoj,VIDA,TRUE,Besiktas JK,Süper Lig,TUR
Croatia,22,DF,PIVARIC Josip,PIVARIC,TRUE,FC Dynamo Kyiv,Premier League,UKR
Croatia,23,GK,SUBASIC Danijel,SUBASIC,TRUE,AS Monaco,Ligue 1,FRA
Denmark,1,GK,SCHMEICHEL Kasper,SCHMEICHEL,TRUE,Leicester City FC,Premier League,ENG
Denmark,2,MF,KROHN-DEHLI Michael,KROHN-DEHLI,TRUE,Deportivo La Coruna,Primera Division,ESP
Croatia,15,DF,CALETA-CAR Duje,CALETA-CAR,#N/A,FC Red Bull Salzburg,Bundesliga,AUT
Denmark,4,DF,KJAER Simon,KJAER,TRUE,Sevilla FC,Primera Division,ESP
Denmark,5,DF,KNUDSEN Jonas,KNUDSEN,TRUE,Ipswich Town FC,Championship,ENG
Denmark,6,DF,CHRISTENSEN Andreas,A. CHRISTENSEN,TRUE,Chelsea FC,Premier League,ENG
Croatia,16,FW,KALINIC Nikola,N. KALINIC,#N/A,AC Milan,Serie A,ITA
Croatia,20,FW,PJACA Marko,PJACA,#N/A,FC Schalke 04,Bundesliga,GER
Denmark,9,FW,JORGENSEN Nicolai,N. JÖRGENSEN,TRUE,Feyenoord Rotterdam,Eredivisie,NED
Denmark,10,MF,ERIKSEN Christian,ERIKSEN,TRUE,Tottenham Hotspur FC,Premier League,ENG
Denmark,11,FW,BRAITFIWAITE Martin,BRAITHWAITE,TRUE,FC Girondins Bordeaux,Ligue 1,FRA
Denmark,3,DF,VESTERGAARD Jannik,VESTERGAARD,#N/A,VfL Borussia Monchengladbach,Bundesliga,GER
Denmark,13,DF,JORGENSEN Mathias,M. JÖRGENSEN,TRUE,Huddersfield Town FC,Premier League,ENG
Denmark,14,DF,DALSGAARD Henrik,DALSGAARD,TRUE,Brentford FC,Championship,ENG
Denmark,7,MF,KVIST William,KVIST,#N/A,FC Kobenhavn,Danish Superliga,DEN
Denmark,12,FW,DOLBERG Kasper,DOLBERG,#N/A,AFC Ajax,Eredivisie,NED
Denmark,15,FW,FISCHER Viktor,FISCHER,#N/A,FC Kobenhavn,Danish Superliga,DEN
Denmark,16,GK,LOSSLJonas,LÖSSL,#N/A,Huddersfield Town FC,Premier League,ENG
Denmark,19,MF,SCHONE Lasse,SCHÖNE,TRUE,AFC Ajax,Eredivisie,NED
Switzerland,5,DF,AKANJI Manuel,AKANJI,TRUE,Borussia Dortmund,Bundesliga,GER
Denmark,21,FW,CORNELIUS Andreas,CORNELIUS,TRUE,Atalanta Bergamo,Serie A,ITA
Denmark,17,DF,STRYGER LARSEN Jens,STRYGER Larsen,#N/A,Udinese Calcio,Serie A,ITA
Denmark,23,FW,SISTO Pione,SISTO,TRUE,Celta Vigo,Primera Division,ESP
England,1,GK,PICKFORD Jordan,PICKFORD,TRUE,Everton FC,Premier League,ENG
England,2,DF,WALKER Kyle,WALKER,TRUE,Manchester City FC,Premier League,ENG
England,3,DF,ROSE Danny,D. ROSE,TRUE,Tottenham Hotspur FC,Premier League,ENG
England,4,MF,DIER Eric,DIER,TRUE,Tottenham Hotspur FC,Premier League,ENG
England,5,DF,STONES John,STONES,TRUE,Manchester City FC,Premier League,ENG
England,6,DF,MAGUIRE Harry,MAGUIRE,TRUE,Leicester City FC,Premier League,ENG
England,7,MF,LINGARD Jesse,LINGARD,TRUE,Manchester United FC,Premier League,ENG
England,8,MF,HENDERSON Jordan,J. HENDERSON,TRUE,Liverpool FC,Premier League,ENG
England,9,FW,KANE Harry,H. KANE,TRUE,Tottenham Hotspur FC,Premier League,ENG
England,10,FW,STERLING Raheem,STERLING,TRUE,Manchester City FC,Premier League,ENG
England,11,FW,VARDY Jamie,VARDY,TRUE,Leicester City FC,Premier League,ENG
England,12,DF,TRIPPIER Kieran,TRIPPIER,TRUE,Tottenham Hotspur FC,Premier League,ENG
Denmark,18,MF,LERAGER Lukas,LERAGER,#N/A,FC Girondins Bordeaux,Ligue 1,FRA
Denmark,22,GK,RONNOW Frederik,RÖNNOW,#N/A,Brondby IF,Danish Superliga,DEN
England,13,GK,BUTLAND Jack,BUTLAND,#N/A,Stoke City FC,Premier League,ENG
England,14,FW,WELBECK Danny,WELBECK,#N/A,Arsenal FC,Premier League,ENG
England,15,DF,CAHILL Gary,CAHILL,#N/A,Chelsea FC,Premier League,ENG
England,18,DF,YOUNG Ashley,A. YOUNG,TRUE,Manchester United FC,Premier League,ENG
England,19,FW,RASHFORD Marcus,RASHFORD,TRUE,Manchester United FC,Premier League,ENG
England,20,MF,ALLI Dele,ALLI,TRUE,Tottenham Hotspur FC,Premier League,ENG
England,16,DF,JONES Phil,JONES,#N/A,Manchester United FC,Premier League,ENG
England,17,DF,DELPH Fabian,DELPH,#N/A,Manchester City FC,Premier League,ENG
England,21,MF,LOFTUS-CHEEK Ruben,LOFTUS-CHEEK,#N/A,Chelsea FC,Premier League,ENG
France,1,GK,LLORIS Hugo,LLORIS,TRUE,Tottenham Hotspur FC,Premier League,ENG
Croatia,18,FW,REBIC Ante,REBIC,TRUE,Eintracht Frankfurt,Bundesliga,GER
France,3,DF,KIMPEMBE Presnel,KIMPEMBE,#N/A,Paris Saint-Germain FC,Ligue 1,FRA
France,4,DF,VARANE Raphael,VARANE,TRUE,Real Madrid CF,Primera Division,ESP
France,5,DF,UMTITI Samuel,UMTITI,TRUE,FC Barcelona,Primera Division,ESP
France,6,MF,POGBA Paul,POGBA,TRUE,Manchester United FC,Premier League,ENG
France,7,FW,GRIEZMANN Antoine,GRIEZMANN,TRUE,Atletico Madrid,Primera Division,ESP
France,8,FW,LEMAR Thomas,LEMAR,#N/A,AS Monaco,Ligue 1,FRA
France,9,FW,GIROUD Olivier,GIROUD,TRUE,Chelsea FC,Premier League,ENG
France,10,FW,MBAPPE Kylian,MBAPPÉ,TRUE,Paris Saint-Germain FC,Ligue 1,FRA
France,11,FW,DEMBELE Ousmane,DEMBELÉ,#N/A,FC Barcelona,Primera Division,ESP
Japan,17,MF,HASEBE Makoto,HASEBE,TRUE,Eintracht Frankfurt,Bundesliga,GER
France,13,MF,KANTE Ngolo,KANTÉ,TRUE,Chelsea FC,Premier League,ENG
France,14,MF,MATUIDI Blaise,MATUIDI,TRUE,Juventus FC,Serie A,ITA
France,15,MF,NZONZI Steven,N'ZONZI,#N/A,Sevilla FC,Primera Division,ESP
France,16,GK,MANDANDA Steve,MANDANDA,#N/A,Olympique Marseille,Ligue 1,FRA
France,17,DF,RAMI Adil,RAMI,#N/A,Olympique Marseille,Ligue 1,FRA
France,18,FW,FEKIR Nabil,FEKIR,TRUE,Olympique Lyon,Ligue 1,FRA
France,19,DF,SIDIBE Djibril,SIDIBÉ,#N/A,AS Monaco,Ligue 1,FRA
France,20,FW,THAUVIN Florian,THAUVIN,TRUE,Olympique Marseille,Ligue 1,FRA
France,21,DF,HERNANDEZ Lucas,HERNANDEZ,TRUE,Atletico Madrid,Primera Division,ESP
France,22,DF,MENDY Benjamin,MENDY,#N/A,Manchester City FC,Premier League,ENG
France,23,GK,AREOLA Alphonse,AREOLA,#N/A,Paris Saint-Germain FC,Ligue 1,FRA
Mexico,3,DF,SALCEDO Carlos,SALCEDO,TRUE,Eintracht Frankfurt,Bundesliga,GER
England,22,DF,ALEXANDER-ARNOLD Trent,ALEXANDER-ARNOLD,#N/A,Liverpool FC,Premier League,ENG
England,23,GK,POPE Nick,POPE,#N/A,Burnley FC,Premier League,ENG
France,12,MF,TOLISSO Corentin,TOLISSO,TRUE,FC Bayern Munchen,Bundesliga,GER
Japan,1,GK,KAWASHIMA Eiji,KAWASHIMA,TRUE,FC Metz,Ligue 1,FRA
Japan,2,DF,UEDA Naomichi,UEDA,#N/A,Kashima Antlers,J1 League,JPN
Japan,3,DF,SHOJI Gen,SHOJI,TRUE,Kashima Antlers,J1 League,JPN
Japan,4,MF,HONDA Keisuke,HONDA,TRUE,CF Pachuca,Primera Division,MEX
Japan,5,DF,NAGATOMO Yuto,NAGATOMO,TRUE,Galatasaray SK,Süper Lig,TUR
Japan,6,DF,ENDO Wataru,ENDO,#N/A,Urawa Reds,J1 League,JPN
Japan,7,MF,SHIBASAKI Gaku,SHIBASAKI,TRUE,Getafe CF,Primera Division,ESP
Japan,8,MF,HARAGUCHI Genki,HARAGUCHI,TRUE,Fortuna Dusseldorf,2. Bundesliga,GER
Japan,9,FW,OKAZAKI Shinji,OKAZAKI,#N/A,Leicester City FC,Premier League,ENG
Japan,11,MF,USAMI Takashi,USAMI,#N/A,Fortuna Dusseldorf,2. Bundesliga,GER
Japan,12,GK,HIGASHIGUCHI Masaaki,HIGASHIGUCHI,#N/A,Gamba Osaka,J1 League,JPN
Japan,18,MF,OSHIMA Ryota,OSHIMA,#N/A,Kawasaki Frontale,J1 League,JPN
Japan,20,DF,MAKINO Tomoaki,MAKINO,#N/A,Urawa Reds,J1 League,JPN
Japan,14,MF,INUI Takashi,INUI,TRUE,SD Eibar,Primera Division,ESP
Japan,16,MF,YAMAGUCHI Hotaru,YAMAGUCHI,TRUE,Cerezo Osaka,J1 League,JPN
Japan,23,GK,NAKAMURA Kosuke,NAKAMURA,#N/A,Kashiwa Reysol,J1 League,JPN
Japan,19,DF,SAKAI Hiroki,H. SAKAI,TRUE,Olympique Marseille,Ligue 1,FRA
