FIFA Display Name,Spieler,Minutes_played,POS,DoB,Club,Club_Country,Club_Liga1,Nationalmannschaft,WM_Tore_NM,WM_Gegentore_NM,Tordifferenz,Gruppenphase_1,Gruppenphase_2,Gruppenphase_3,Punkte_Gruppenphase
Reza GHOOCHANNEJAD,REZA,270,FW,20.09.87,Charlton Athletic,ENG,Championship,Iran,1,4,-3,1,0,0,1
Ashkan DE JAG AH,DEJAGAH,226,FW,05.07.86,Fulham FC,ENG,Championship,Iran,1,4,-3,1,0,0,1
LEEChungong,CYLEE,244,MF,02.07.88,Bolton Wanderers FC,ENG,Championship,Korea Republic,3,6,-3,1,0,0,1
PARK Chuyoung,C Y PARK,113,FW,10.07.85,Watford FC,ENG,Championship,Korea Republic,3,6,-3,1,0,0,1
KIM Bokyung,BK KIM,30,MF,06.10.89,Cardiff City FC,WAL,Premier League,Korea Republic,3,6,-3,1,0,0,1
Leroy FER,FER,15,MF,05.01.90,Norwich City FC,ENG,Championship,Netherlands,10,3,7,3,3,3,9
Kenneth OMERUO,OMERUO,360,DF,17.10.93,Middlesbrough FC,ENG,Championship,Nigeria,3,3,0,1,3,0,4
Joseph YOBO,YOBO,331,DF,06.09.80,Norwich City FC,ENG,Championship,Nigeria,3,3,0,1,3,0,4
Osman CHAVEZ,O. CHAVEZ,44,DF,29.07.84,Qingdao Jonoon FC,CHN,China League Two,Honduras,1,8,-7,0,0,0,0
Ryan McGOWAN,MCGOWAN,221,DF,15.08.89,Shandong Luneng Taishan FC,CHN,Super League,Australia,3,9,-6,0,0,0,0
Maximo BANGUERA,BANGUERA,0,GK,16.12.85,Barcelona SC,ECU,Serie A,Ecuador,3,3,0,0,3,1,4
Adrian BONE,BONE,0,GK,08.09.88,CD El Nacional,ECU,Serie A,Ecuador,3,3,0,0,3,1,4
Luis SARITAMA,SARITAMA,0,MF,20.10.83,Barcelona SC,ECU,Serie A,Ecuador,3,3,0,0,3,1,4
Oscar BAGUI,BAGUI,0,DF,10.12.82,CS Emelec,ECU,Serie A,Ecuador,3,3,0,0,3,1,4
Juan PAREDES,PAREDES,270,DF,08.07.87,Barcelona SC,ECU,Serie A,Ecuador,3,3,0,0,3,1,4
Jorge GUAGUA,GUAGUA,270,DF,28.09.81,CS Emelec,ECU,Serie A,Ecuador,3,3,0,0,3,1,4
Gabriel ACHILIER,ACHILIER,9,DF,24.03.85,CS Emelec,ECU,Serie A,Ecuador,3,3,0,0,3,1,4
Aron JOHANNSSON,JOHANNSSON,67,FW,10.11.90,AZ Alkmaar,NED,Eredivisie,USA,4,4,0,3,1,0,4
Anei HADZIC,HADZIC,61,MF,16.08.89,SK Sturm Graz,AUT,Fußball0Bundesliga,Bosnia and Herzegovina,4,4,0,0,0,3,3
Stephen ADAMS,S. ADAMS,0,GK,28.09.89,Aduana Stars,GHA,Premier League,Ghana,4,6,-2,0,1,0,1
Juwon OSHANIWA,OSHANIWA,360,DF,14.09.90,FC Ashdod,ISR,Premier League,Nigeria,3,3,0,1,3,0,4
Masahiko INOHA,INOHA,0,DF,28.08.85,Jubilo Iwata,JPN,J2 League,Japan,2,6,-4,0,1,0,1
Shusaku NISHIKAWA,NISHIKAWA,0,GK,18.06.86,Urawa Red Diamonds,JPN,J1 League,Japan,2,6,-4,0,1,0,1
Shuichi GONDA,GONDA,0,GK,03.03.89,FC Tokyo,JPN,J1 League,Japan,2,6,-4,0,1,0,1
Hotaru YAMAGUCHI,YAMAGUCHI,208,MF,06.10.90,Cerezo Osaka,JPN,J1 League,Japan,2,6,-4,0,1,0,1
Yoshito OKUBO,OKUBO,203,FW,09.06.82,Kawasaki Frontale,JPN,J1 League,Japan,2,6,-4,0,1,0,1
Yasuyuki KONNO,KONNO,180,DF,25.01.83,Gamba Osaka,JPN,J1 League,Japan,2,6,-4,0,1,0,1
Masato MORISHIGE,MORISHIGE,90,DF,21.05.87,FC Tokyo,JPN,J1 League,Japan,2,6,-4,0,1,0,1
Yasuhito ENDO,ENDO,80,MF,28.01.80,Gamba Osaka,JPN,J1 League,Japan,2,6,-4,0,1,0,1
Toshihiro AOYAMA,AOYAMA,62,MF,22.02.86,Sanfrecce Hiroshima,JPN,J1 League,Japan,2,6,-4,0,1,0,1
Yoichiro KAKITANI,KAKITANI,25,FW,03.01.90,Cerezo Osaka,JPN,J1 League,Japan,2,6,-4,0,1,0,1
KIM Changsoo,CS KIM,0,DF,12.09.85,Kashiwa Reysol,JPN,J1 League,Korea Republic,3,6,-3,1,0,0,1
HAN Kookyoung,KYHAN,214,MF,19.04.90,Kashiwa Reysol,JPN,J1 League,Korea Republic,3,6,-3,1,0,0,1
HWANG Seokho,S H HWANG,17,DF,27.06.89,Sanfrecce Hiroshima,JPN,J1 League,Korea Republic,3,6,-3,1,0,0,1
Diego FORLAN,FORLAN,113,FW,19.05.79,Cerezo Osaka,JPN,J1 League,Uruguay,4,4,0,0,3,3,6
Manabu SAITO,SAITO,0,FW,04.04.90,Yokohama F0Marinos,JPN,J1 League,Japan,2,6,-4,0,1,0,1
Sammy BOSSUT,BOSSUT,0,GK,11.08.85,SV Zulte Waregem,BEL,First Division A,Belgium,4,1,3,3,3,3,9
Laurent OMAN,OMAN,0,DF,05.08.85,Standard Liege,BEL,First Division A,Belgium,4,1,3,3,3,3,9
Anthony VANDEN BORRE,VANDEN BORRE,90,DF,24.10.87,RSC Anderlecht,BEL,First Division A,Belgium,4,1,3,3,3,3,9
Fabrice OLINGA,OLINGA,0,FW,12.05.96,SV Zulte Waregem,BEL,First Division A,Cameroon,1,9,-8,0,0,0,0
Boubacar BARRY,BARRY COPA,270,GK,30.12.79,KSC Lokeren,BEL,First Division A,Cote d'Ivoire,4,5,-1,3,0,0,3
Daniel OPARE,D. OPARE,90,DF,18.10.90,Standard Liege,BEL,First Division A,Ghana,4,6,-2,0,1,0,1
Ancfy NAJAR,NAJAR,71,MF,16.03.93,RSC Anderlecht,BEL,First Division A,Honduras,1,8,-7,0,0,0,0
Alireza JAHAN BAKHSH,ALIREZA,49,FW,11.08.93,NEC Nijmegen,NED,Eredivisie,Iran,1,4,-3,1,0,0,1
Eiji KAWASHIMA,KAWASHIMA,270,GK,20.03.83,Standard Liege,BEL,First Division A,Japan,2,6,-4,0,1,0,1
Rï¿½ben GABRIEL,GABRIEL,31,MF,25.09.90,KV Waasland0Beveren,BEL,First Division A,Nigeria,3,3,0,1,3,0,4
Okechukwu UCHEBO,UCHEBO,24,FW,03.02.90,Cercle Bruegge,BEL,First Division A,Nigeria,3,3,0,1,3,0,4
Maty RYAN,RYAN,270,GK,08.04.92,Club Bruegge KV,BEL,First Division A,Australia,3,9,-6,0,0,0,0
Oscar DU ARTE,DUARTE O.,336,DF,03.06.89,Club Bruegge KV,BEL,First Division A,Costa Rica,4,1,3,3,3,1,7
LEEBumyoung,B Y LEE,0,GK,02.04.89,Busan IPark FC,KOR,K League,Korea Republic,3,6,-3,1,0,0,1
JUNG Sungryong,SR JUNG,180,GK,04.01.85,Suwon Bluewings FC,KOR,K League,Korea Republic,3,6,-3,1,0,0,1
KIM Seunggyu,SG KIM,90,GK,30.09.90,Ulsan Hyundai FC,KOR,K League,Korea Republic,3,6,-3,1,0,0,1
LEEYong,Y LEE,270,DF,24.12.86,Ulsan Hyundai FC,KOR,K League,Korea Republic,3,6,-3,1,0,0,1
KIM Shinwook,SW KIM,99,FW,14.04.88,Ulsan Hyundai FC,KOR,K League,Korea Republic,3,6,-3,1,0,0,1
Alex WILKINSON,WILKINSON,270,DF,13.08.84,Jeonbuk Hyundai Motors FC,KOR,K League,Australia,3,9,-6,0,0,0,0
LEEKeunho,K H LEE,104,FW,11.04.85,Sangju Sangmu FC,KOR,K League,Korea Republic,3,6,-3,1,0,0,1
Javad NEKOUNAM,J. NEKOUNAM,270,MF,07.09.80,Kuwait SC,KUW,Premier League,Iran,1,4,-3,1,0,0,1
Francisco SILVA,SILVA,280,MF,11.02.86,CA Osasuna,ESP,Primera Division,Chile,5,3,2,3,3,0,6
Carlos SANCHEZ,C. SANCHEZ,360,MF,06.02.86,Elche CF,ESP,Primera Division,Colombia,9,2,7,3,3,3,9
Ramon AZEEZ,AZEEZ,69,MF,12.12.92,UD Almería,ESP,Primera Division,Nigeria,3,3,0,1,3,0,4
Bailey WRIGHT,WRIGHT,0,DF,28.07.92,Preston North End FC,ENG,League One,Australia,3,9,-6,0,0,0,0
Massimo LUONGO,LUONGO,0,MF,25.09.92,Swindon Town FC,ENG,League One,Australia,3,9,-6,0,0,0,0
Patrick PEMBERTON,PEMBERTON R,0,GK,24.04.82,LD Alajuelense,CRC,Primera Division,Costa Rica,4,1,3,3,3,1,7
Johnny ACOSTA,ACOSTA J.,163,DF,21.07.83,LD Alajuelense,CRC,Primera Division,Costa Rica,4,1,3,3,3,1,7
Jerry PALACIOS,J. PALACIOS,50,MF,13.05.82,LD Alajuelense,CRC,Primera Division,Honduras,1,8,-7,0,0,0,0
Michael ARROYO,ARROYO,102,MF,23.04.87,Atlante FC,MEX,Liga MX,Ecuador,3,3,0,0,3,1,4
Oribe PERALTA,O PERALTA,302,FW,12.01.84,Club Santos Laguna,MEX,Liga MX,Mexico,4,1,3,3,1,3,7
Luis LOPEZ,LOPEZ,0,GK,13.09.93,Real Espana,HON,Liga Nacional,Honduras,1,8,-7,0,0,0,0
Noel VALLAD ARES,VALLADARES,270,GK,03.05.77,CD Olimpia,HON,Liga Nacional,Honduras,1,8,-7,0,0,0,0
Donis ESCOBER,ESCOBER,0,GK,03.02.81,CD Olimpia,HON,Liga Nacional,Honduras,1,8,-7,0,0,0,0
Juan MONTES,MONTES,0,DF,26.12.85,CD Motagua,HON,Liga Nacional,Honduras,1,8,-7,0,0,0,0
Edder DELGADO,DELGADO,0,MF,20.11.86,Real Espana,HON,Liga Nacional,Honduras,1,8,-7,0,0,0,0
Rony MARTI NEZ,R. MARTINEZ,0,FW,16.10.87,CD Real Sociedad,HON,Liga Nacional,Honduras,1,8,-7,0,0,0,0
Brayan BECKELES,BECKELES,270,DF,28.11.85,CD Olimpia,HON,Liga Nacional,Honduras,1,8,-7,0,0,0,0
Carlo COSTLY,COSTLY,220,FW,18.07.82,Real Espana,HON,Liga Nacional,Honduras,1,8,-7,0,0,0,0
Jorge CLAROS,CLAROS,212,MF,08.01.86,CD Motagua,HON,Liga Nacional,Honduras,1,8,-7,0,0,0,0
Luis GARRIDO,GARRIDO,161,MF,05.11.90,CD Olimpia,HON,Liga Nacional,Honduras,1,8,-7,0,0,0,0
Mario MARTINEZ,M. MARTINEZ,19,MF,30.07.89,Real Espana,HON,Liga Nacional,Honduras,1,8,-7,0,0,0,0
Claudio BRAVO,C. BRAVO,390,GK,13.04.83,Real Sociedad,ESP,Primera Division,Chile,5,3,2,3,3,0,6
Antoine GRIEZMANN,GRIEZMANN,295,FW,21.03.91,Real Sociedad,ESP,Primera Division,France,8,2,6,3,3,1,7
Haris SEFEROVIC,SEFEROVIC,139,FW,22.02.92,Real Sociedad,ESP,Primera Division,Switzerland,7,6,1,3,0,3,6
Alireza HAGHIGHI,A. HAGHIGHI,270,GK,02.05.88,Sporting Covilha,POR,LigaPro,Iran,1,4,-3,1,0,0,1
Camilo VARGAS,VARGAS,311,GK,09.03.89,Independiente Santa Fe,COL,Categoría Primera A,Colombia,9,2,7,3,3,3,9
Faryd MONDRAGON,MONDRAGON,5,GK,21.06.71,Deportivo Cali,COL,Categoría Primera A,Colombia,9,2,7,3,3,3,9
Edison MENDEZ,MENDEZ,8,MF,16.03.79,Independiente Santa Fe,COL,Categoría Primera A,Ecuador,3,3,0,0,3,1,4
Rafik HALLI CHE,HALLICHE,367,DF,02.09.86,Academica Coimbra,POR,Primeira Liga,Algeria,6,5,1,0,3,1,4
Islam SLIMANI,SLIMANI,324,FW,18.06.88,Sporting CP,POR,Primeira Liga,Algeria,6,5,1,0,3,1,4
Nabil GH 1 LAS,GHILAS,36,FW,20.04.90,FC Porto,POR,Primeira Liga,Algeria,6,5,1,0,3,1,4
Ezequiel GARAY,GARAY,720,DF,10.10.86,SL Benfica,POR,Primeira Liga,Argentina,6,3,3,3,3,3,9
Marcos ROJO,ROJO,615,DF,20.03.90,Sporting CP,POR,Primeira Liga,Argentina,6,3,3,3,3,3,9
Enzo PEREZ,PEREZ,224,MF,22.02.86,SL Benfica,POR,Primeira Liga,Argentina,6,3,3,3,3,3,9
Steven DEFOUR,DEFOUR,45,MF,15.04.88,FC Porto,POR,Primeira Liga,Belgium,4,1,3,3,3,3,9
Jackson MARTINEZ,JACKSON M.,194,FW,03.10.86,FC Porto,POR,Primeira Liga,Colombia,9,2,7,3,3,3,9
Juan QUINTERO,QUINTERO,93,MF,18.01.93,FC Porto,POR,Primeira Liga,Colombia,9,2,7,3,3,3,9
Eliaquim MANG ALA,MANGALA,0,DF,13.02.91,FC Porto,POR,Primeira Liga,France,8,2,6,3,3,1,7
Hector HERRERA,H HERRERA,346,MF,19.04.90,FC Porto,POR,Primeira Liga,Mexico,4,1,3,3,1,3,7
Diego REYES,D REYES,44,DF,19.09.92,FC Porto,POR,Primeira Liga,Mexico,4,1,3,3,1,3,7
Rui PATRICIO,RUI PATRICIO,90,GK,15.02.88,Sporting CP,POR,Primeira Liga,Portugal,4,7,-3,0,1,3,4
RAFA,RAFA,0,FW,17.05.93,Sporting Braga,POR,Primeira Liga,Portugal,4,7,-3,0,1,3,4
EDER,EDER,205,FW,22.12.87,Sporting Braga,POR,Primeira Liga,Portugal,4,7,-3,0,1,3,4
WILLIAM,WILLIAM,134,MF,07.04.92,Sporting CP,POR,Primeira Liga,Portugal,4,7,-3,0,1,3,4
Ruben AMORIM,R. AMORIM,90,MF,27.01.85,SL Benfica,POR,Primeira Liga,Portugal,4,7,-3,0,1,3,4
Andre ALMEIDA,A. ALMEIDA,71,DF,10.09.90,SL Benfica,POR,Primeira Liga,Portugal,4,7,-3,0,1,3,4
VARELA,VARELA,50,FW,02.02.85,FC Porto,POR,Primeira Liga,Portugal,4,7,-3,0,1,3,4
EDUARDO,EDUARDO,21,GK,19.09.82,Sporting Braga,POR,Primeira Liga,Portugal,4,7,-3,0,1,3,4
Maximiliano PEREIRA,M. PEREIRA,224,DF,08.06.84,SL Benfica,POR,Primeira Liga,Uruguay,4,4,0,0,3,3,6
Jorge FUCILE,FUCILE,11,DF,19.11.84,FC Porto,POR,Primeira Liga,Uruguay,4,4,0,0,3,3,6
Austine EJIDE,EJIDE,0,GK,08.04.84,Hapoel Be'er Sheva FC,ISR,Premier League,Nigeria,3,3,0,1,3,0,4
Cedric Sl MOHAMMED,Sl MOHAMMED,0,GK,09.01.85,CS Constantine,ALG,Ligue 1,Algeria,6,5,1,0,3,1,4
Mohamed ZEMMAMOUCHE,ZEMMAMOUCHE,0,GK,19.03.85,USM Alger,ALG,Ligue 1,Algeria,6,5,1,0,3,1,4
Abdelmoumene DJABOU,DJABOU,170,FW,31.01.87,Club Africain,TUN,Ligue 1,Algeria,6,5,1,0,3,1,4
Landry NGUEMO,NGUEMO,90,MF,28.11.85,FC Girondins Bordeaux,FRA,Ligue 1,Cameroon,1,9,-8,0,0,0,0
Henri BEDIMO,BEDIMO,90,DF,04.06.84,Olympique Lyonnais,FRA,Ligue 1,Cameroon,1,9,-8,0,0,0,0
Jean MAKOUN,MAKOUN,9,MF,29.05.83,Stade Rennais FC,FRA,Ligue 1,Cameroon,1,9,-8,0,0,0,0
Daniel OSPINA,OSPINA,445,GK,31.08.88,OGC Nice,FRA,Ligue 1,Colombia,9,2,7,3,3,3,9
Sylvain GBOHOUO,GBOHOUO,0,GK,29.10.88,Sewe Sport,CIV,Ligue 1,Cote d'Ivoire,4,5,-1,3,0,0,3
John BOYE,BOYE,270,DF,23.04.87,Stade Rennais FC,FRA,Ligue 1,Ghana,4,6,-2,0,1,0,1
Harrison AFFUL,HARRISON,180,DF,24.07.86,Esperance Sportive de Tunis,TUN,Ligue 1,Ghana,4,6,-2,0,1,0,1
Carl MEDJANI,MEDJANI,264,DF,15.05.85,Valenciennes FC,FRA,Ligue 2,Algeria,6,5,1,0,3,1,4
Mehdi MOSTEFA,MOSTEFA,210,MF,30.08.83,Ajaccio,FRA,Ligue 2,Algeria,6,5,1,0,3,1,4
Benjamin MOUKANDJO,MOUKANDJO,238,FW,12.11.88,AS Nancy,FRA,Ligue 2,Cameroon,1,9,-8,0,0,0,0
Jordan AYEW,J. AYEW,116,FW,11.09.91,FC Sochaux0Montbeliard,FRA,Ligue 2,Ghana,4,6,-2,0,1,0,1
Majeed WARIS,WARIS,71,FW,19.09.91,Valenciennes FC,FRA,Ligue 2,Ghana,4,6,-2,0,1,0,1
Guillermo OCHOA,G OCHOA,360,GK,13.07.85,Ajaccio,FRA,Ligue 2,Mexico,4,1,3,3,1,3,7
TimCAHILL,CAHILL,159,FW,06.12.79,New York Red Bulls,USA,Major League Soccer,Australia,3,9,-6,0,0,0,0
JULIO CE SAR,JULIO CESAR,660,GK,03.09.79,Toronto FC,CAN,Major League Soccer,Brazil,7,2,5,3,1,3,7
Waylon FRANCIS,FRANCIS W.,0,DF,20.09.90,Columbus Crew,USA,Major League Soccer,Costa Rica,4,1,3,3,3,1,7
Giancarlo GONZALEZ,GONZALEZ G.,510,DF,08.02.88,Columbus Crew,USA,Major League Soccer,Costa Rica,4,1,3,3,3,1,7
Roy MILLER,MILLER R.,90,DF,24.11.84,New York Red Bulls,USA,Major League Soccer,Costa Rica,4,1,3,3,3,1,7
Jerry BENGTSON,BENGTSON,226,FW,08.04.87,New England Revolution,USA,Major League Soccer,Honduras,1,8,-7,0,0,0,0
Victor BERN ARDEZ,BERNARDEZ,226,DF,24.05.82,San Jose Earthquakes,USA,Major League Soccer,Honduras,1,8,-7,0,0,0,0
Boniek GARCIA,BONIEK,204,MF,04.09.84,Houston Dynamo,USA,Major League Soccer,Honduras,1,8,-7,0,0,0,0
Marvin CHAVEZ,M. CHAVEZ,51,MF,03.11.83,CD Chivas USA,USA,Major League Soccer,Honduras,1,8,-7,0,0,0,0
Steven BEITASHOUR,BEITASHOUR,0,DF,01.02.87,Vancouver Whitecaps FC,CAN,Major League Soccer,Iran,1,4,-3,1,0,0,1
Nick RIMANDO,RIMANDO,0,GK,17.06.79,Real Salt Lake,USA,Major League Soccer,USA,4,4,0,3,1,0,4
Michael BRADLEY,BRADLEY,390,MF,31.07.87,Toronto FC,CAN,Major League Soccer,USA,4,4,0,3,1,0,4
Clint DEMPSEY,DEMPSEY,387,FW,09.03.83,Seattle Sounders FC,USA,Major League Soccer,USA,4,4,0,3,1,0,4
Matt BESLER,BESLER,346,DF,11.02.87,Sporting Kansas City,USA,Major League Soccer,USA,4,4,0,3,1,0,4
Kyle BECKERMAN,BECKERMAN,270,MF,23.04.82,Real Salt Lake,USA,Major League Soccer,USA,4,4,0,3,1,0,4
Graham ZUSI,ZUSI,259,MF,18.08.86,Sporting Kansas City,USA,Major League Soccer,USA,4,4,0,3,1,0,4
Omar GONZALEZ,GONZALEZ,211,DF,11.10.88,Los Angeles Galaxy,USA,Major League Soccer,USA,4,4,0,3,1,0,4
DeAndreYEDLIN,YEDLIN,112,DF,09.07.93,Seattle Sounders FC,USA,Major League Soccer,USA,4,4,0,3,1,0,4
Brad DAVIS,DAVIS,59,MF,08.11.81,Houston Dynamo,USA,Major League Soccer,USA,4,4,0,3,1,0,4
Chris WONDOLOWSKI,WONDOLOWSKI,51,FW,28.01.83,San Jose Earthquakes,USA,Major League Soccer,USA,4,4,0,3,1,0,4
Chigozie AGBIM,AGBIM,0,GK,28.11.84,Enugu Rangers FC,NGA,Professional Football League,Nigeria,3,3,0,1,3,0,4
Azubuike EGWUEKWE,EGWUEKWE,0,DF,16.07.89,Wari Wolves FC,NGA,Professional Football League,Nigeria,3,3,0,1,3,0,4
Ebenezer ODUNLAMI,ODUNLAMI,0,DF,30.04.91,Sunshine Stars FC,NGA,Professional Football League,Nigeria,3,3,0,1,3,0,4
Ejike UZOENYI,UZOENYI,15,MF,23.03.92,Enugu Rangers FC,NGA,Professional Football League,Nigeria,3,3,0,1,3,0,4
Bakhtiar RAHMANI,BAKHTIAR,0,MF,23.09.91,Foolad Khuzestan FC,IRN,Persian Gulf League,Iran,1,4,-3,1,0,0,1
Rah man AHMADI,R. AHMADI,0,GK,30.07.80,Sepahan FC,IRN,Persian Gulf League,Iran,1,4,-3,1,0,0,1
Ghasem HADADIFAR,GHASEM. H,0,MF,12.07.83,Zob Ahan Isfahan FC,IRN,Persian Gulf League,Iran,1,4,-3,1,0,0,1
Hossein MAHINI,H. MAHINI,0,DF,16.09.86,Persepolis FC,IRN,Persian Gulf League,Iran,1,4,-3,1,0,0,1
Ahmad ALNAMEH,AHMAD,0,DF,20.10.82,Naft Tehran FC,IRN,Persian Gulf League,Iran,1,4,-3,1,0,0,1
Hashem BEIKZADEH,BEIKZADEH,0,MF,22.01.84,Esteghlal Tehran FC,IRN,Persian Gulf League,Iran,1,4,-3,1,0,0,1
Jalal HOSSEINI,J. HOSSEINI,270,DF,03.02.82,Persepolis FC,IRN,Persian Gulf League,Iran,1,4,-3,1,0,0,1
Amirhossein SADEGHI,AMIRHOSSEIN,270,DF,06.09.81,Esteghlal Tehran FC,IRN,Persian Gulf League,Iran,1,4,-3,1,0,0,1
Reza HAGHIGHI,R. HAGHIGHI,2,MF,01.02.89,Persepolis FC,IRN,Persian Gulf League,Iran,1,4,-3,1,0,0,1
AndranikTIMOTIAN,ANDRANIK,270,MF,06.03.83,Esteghlal Tehran FC,IRN,Persian Gulf League,Iran,1,4,-3,1,0,0,1
Mehrdad POOLADI,MEHRDAD,270,DF,26.02.87,Persepolis FC,IRN,Persian Gulf League,Iran,1,4,-3,1,0,0,1
Ehsan HAJI SAFI,HAJI SAFI,241,MF,25.02.90,Sepahan FC,IRN,Persian Gulf League,Iran,1,4,-3,1,0,0,1
Khosro HEYDARI,KH. HEYDARI,147,FW,14.09.83,Esteghlal Tehran FC,IRN,Persian Gulf League,Iran,1,4,-3,1,0,0,1
Karim ANSARI FARD,KARIM,22,FW,03.04.90,Tractor Sazi Tabriz FC,IRN,Persian Gulf League,Iran,1,4,-3,1,0,0,1
Nabil BENTALEB,BENTALEB,270,MF,24.11.94,Tottenham Hotspur FC,ENG,Premier League,Algeria,6,5,1,0,3,1,4
Riyad MAHREZ,MAHREZ,71,FW,21.02.91,Leicester City FC,ENG,Premier League,Algeria,6,5,1,0,3,1,4
Pablo ZABALETA,ZABALETA,720,DF,16.01.85,Manchester City FC,ENG,Premier League,Argentina,6,3,3,3,3,3,9
Martin DEMI CH ELI S,DEMICHELIS,330,DF,20.12.80,Manchester City FC,ENG,Premier League,Argentina,6,3,3,3,3,3,9
Sergio AGUERO,AGUERO,313,FW,02.06.88,Manchester City FC,ENG,Premier League,Argentina,6,3,3,3,3,3,9
Mile JEDINAK,JEDINAK,270,MF,03.08.84,Crystal Palace FC,ENG,Premier League,Australia,3,9,-6,0,0,0,0
Simon MIGNOLET,MIGNOLET,0,GK,06.03.88,Liverpool FC,ENG,Premier League,Belgium,4,1,3,3,3,3,9
Jan VERTONGHEN,VERTONGHEN,449,DF,24.04.87,Tottenham Hotspur FC,ENG,Premier League,Belgium,4,1,3,3,3,3,9
Marouane FELLAINI,FELLAINI,415,MF,22.11.87,Manchester United FC,ENG,Premier League,Belgium,4,1,3,3,3,3,9
Vincent KOMPANY,KOMPANY,390,DF,10.04.86,Manchester City FC,ENG,Premier League,Belgium,4,1,3,3,3,3,9
Eden HAZARD,E. HAZARD,368,MF,07.01.91,Chelsea FC,ENG,Premier League,Belgium,4,1,3,3,3,3,9
Kevin MIRALLAS,MIRALLAS,223,FW,05.10.87,Everton FC,ENG,Premier League,Belgium,4,1,3,3,3,3,9
Romeiu LUKAKU,LUKAKU,175,FW,13.05.93,Everton FC,ENG,Premier League,Belgium,4,1,3,3,3,3,9
Moussa DEMBELE,DEMBELE,155,MF,16.07.87,Tottenham Hotspur FC,ENG,Premier League,Belgium,4,1,3,3,3,3,9
Nacer CHADLI,CHADLI,100,MF,02.08.89,Tottenham Hotspur FC,ENG,Premier League,Belgium,4,1,3,3,3,3,9
Adnan JANUZAJ,JANUZAJ,60,MF,05.02.95,Manchester United FC,ENG,Premier League,Belgium,4,1,3,3,3,3,9
Thomas VERMAELEN,VERMAELEN,31,DF,14.11.85,Arsenal FC,ENG,Premier League,Belgium,4,1,3,3,3,3,9
Asmir BEGOVIC,BEGOVIC,270,GK,20.06.87,Stoke City FC,ENG,Premier League,Bosnia and Herzegovina,4,4,0,0,0,3,3
Edin DZEKO,DZEKO,264,FW,17.03.86,Manchester City FC,ENG,Premier League,Bosnia and Herzegovina,4,4,0,0,0,3,3
DAVID LUIZ,DAVID LUIZ,660,DF,22.04.87,Chelsea FC,ENG,Premier League,Brazil,7,2,5,3,1,3,7
OSCAR,OSCAR,640,MF,09.09.91,Chelsea FC,ENG,Premier League,Brazil,7,2,5,3,1,3,7
PAULIN HO,PAULINHO,386,MF,25.07.88,Tottenham Hotspur FC,ENG,Premier League,Brazil,7,2,5,3,1,3,7
FERNANDINHO,FERNANDINHO,296,MF,04.05.85,Manchester City FC,ENG,Premier League,Brazil,7,2,5,3,1,3,7
RAMI RES,RAMIRES,247,MF,24.03.87,Chelsea FC,ENG,Premier League,Brazil,7,2,5,3,1,3,7
WILLIAN,WILLIAN,150,MF,09.08.88,Chelsea FC,ENG,Premier League,Brazil,7,2,5,3,1,3,7
Benoit ASSOU EKOTTO,ASSOU EKOTTO,180,DF,24.03.84,Queens Park Rangers FC,ENG,Premier League,Cameroon,1,9,-8,0,0,0,0
Samuel ETOO,ETOO,90,FW,10.03.81,Chelsea FC,ENG,Premier League,Cameroon,1,9,-8,0,0,0,0
Pablo ARMERO,P. ARMERO,0,DF,02.11.86,West Ham United FC,ENG,Premier League,Colombia,9,2,7,3,3,3,9
Yaya TOURE,TOURE YAYA,270,MF,13.05.83,Manchester City FC,ENG,Premier League,Cote d'Ivoire,4,5,-1,3,0,0,3
Ismael TIOTE,TIOTE,241,MF,21.06.86,Newcastle United FC,ENG,Premier League,Cote d'Ivoire,4,5,-1,3,0,0,3
Wilfried BONY,B. WILFRIED,167,FW,10.12.88,Swansea City FC,WAL,Premier League,Cote d'Ivoire,4,5,-1,3,0,0,3
Kolo TOURE,T. KOLO,90,DF,19.03.81,Liverpool FC,ENG,Premier League,Cote d'Ivoire,4,5,-1,3,0,0,3
Dejan LOVREN,LOVREN,270,DF,05.07.89,Southampton FC,ENG,Premier League,Croatia,6,4,2,0,3,0,3
Nikica JELAVIC,JELAVIC,94,FW,27.08.85,Hull City,ENG,Premier League,Croatia,6,4,2,0,3,0,3
Segundo CASTILLO,CASTILLO,0,MF,15.05.82,Al Hilal FC,KSA,Saudi Professional League,Ecuador,3,3,0,0,3,1,4
Antonio VALENCIA,A. VALENCIA,230,MF,04.08.85,Manchester United FC,ENG,Premier League,Ecuador,3,3,0,0,3,1,4
Felipe CAICEDO,CAICEDO,153,FW,05.09.88,Al Jazira SCC QJAE,UAE,Premier League,Ecuador,3,3,0,0,3,1,4
Fraser Fï¿½RSTER,FORSTER,0,GK,17.03.88,Celtic FC,SCO,Premier League,England,2,4,-2,0,3,1,4
Alex OXLADE CHAMBERLAI N,CHAMBERLAIN,0,MF,15.08.93,Arsenal FC,ENG,Premier League,England,2,4,-2,0,3,1,4
James MILNER,MILNER,0,MF,04.01.86,Manchester City FC,ENG,Premier League,England,2,4,-2,0,3,1,4
Phil JONES,JONES,390,DF,21.02.92,Manchester United FC,ENG,Premier League,England,2,4,-2,0,3,1,4
Daniel STUR RI DG E,STURRIDGE,260,FW,01.09.89,Liverpool FC,ENG,Premier League,England,2,4,-2,0,3,1,4
